,FileName,Split,RemoveJunkBefore,RemoveJunkAfter,Date,User
33,/datc/ortho/Cat2_pat2_meting10_oef2.csv,81,7,150,2018-12-10 10:26:59.724659,Rogier
34,/datc/ortho/Cat2_pat37_meting10_oef2.csv,0,1,255,2018-12-10 10:27:14.804081,Rogier
35,/datc/ortho/Cat2_pat8_meting10_oef2.csv,110,1,255,2018-12-10 10:27:33.212310,Rogier
36,/datc/ortho/Cat2_pat21_meting20_oef2.csv,0,7,107,2018-12-10 10:27:58.820755,Rogier
37,/datc/ortho/Cat2_pat9_meting10_oef2.csv,134,1,193,2018-12-10 10:28:29.773678,Rogier
38,/datc/ortho/Cat2_pat26_meting20_oef2.csv,0,5,167,2018-12-10 10:28:51.003773,Rogier
39,/datc/ortho/Cat2_pat8_meting20_oef2.csv,0,5,110,2018-12-10 10:29:15.282159,Rogier
40,/datc/ortho/Cat2_pat3_meting20_oef2.csv,0,10,335,2018-12-10 10:29:52.533919,Rogier
41,/datc/ortho/Cat2_pat23_meting20_oef2.csv,0,5,163,2018-12-10 10:30:05.773448,Rogier
42,/datc/ortho/Cat2_pat7_meting20_oef2.csv,0,3,230,2018-12-10 10:30:28.950091,Rogier
43,/datc/ortho/Cat2_pat32_meting20_oef2.csv,0,5,145,2018-12-10 10:30:43.259002,Rogier
44,/datc/ortho/Cat2_pat31_meting10_oef2.csv,70,3,127,2018-12-10 10:31:06.679484,Rogier
45,/datc/ortho/Cat2_pat4_meting20_oef2.csv,0,15,177,2018-12-10 10:32:28.822828,Rogier
46,/datc/ortho/Cat2_pat34_meting10_oef2.csv,160,2,299,2018-12-10 10:32:54.872476,Rogier
47,/datc/ortho/Cat2_pat25_meting20_oef2.csv,0,2,94,2018-12-10 10:33:22.108236,Rogier
48,/datc/ortho/Cat2_pat28_meting10_oef2.csv,180,5,325,2018-12-10 10:34:05.175809,Rogier
49,/datc/ortho/Cat2_pat25_meting10_oef2.csv,160,6,280,2018-12-10 10:34:54.499502,Rogier
